restaurant_name,transaction_date,hour_of_day,day_of_week,review_date,rating,sentiment_score,sentiment_label,topic_label,tag_meal_type,tag_order_type,product_ordered,coffee_type,roast_type,size_kg,unit_price,profit,loyalty_customer,quantity,total_sale,total_profit
Fahrenheit Coffee,2020-07-23 08:00:00,8,Thursday,2025-03-29,5,0.8885,positive,Overall coffee experience,,Take out,Arabica Medium 1.0kg,Arabica,Medium,1.0,11.25,1.0125,Yes,1,11.25,1.0125
Fahrenheit Coffee,2021-02-07 10:00:00,10,Sunday,2020-03-30,5,0.0,neutral,Overall coffee experience,Brunch,Dine-in,Robusta Light 2.5kg,Robusta,Light,2.5,27.484999999999996,1.6490999999999998,No,1,27.48,1.6491
Fahrenheit Coffee,2022-06-26 16:00:00,16,Sunday,2018-03-31,5,0.1779,positive,Price & value,Lunch,Dine-in,Excelsa Medium 0.2kg,Excelsa,Medium,0.2,4.125,0.45375,Yes,2,8.25,0.9075
Fahrenheit Coffee,2025-11-30 10:00:00,10,Sunday,2023-03-30,5,0.5983,positive,Overall coffee experience,,Take out,Arabica Medium 0.5kg,Arabica,Medium,0.5,6.75,0.6074999999999999,Yes,1,6.75,0.6075
Fahrenheit Coffee,2018-10-08 09:00:00,9,Monday,2025-03-29,5,0.8599,positive,Poor service & strict rules,Lunch,,Arabica Dark 1.0kg,Arabica,Dark,1.0,9.95,0.8954999999999999,No,1,9.95,0.8955
Fahrenheit Coffee,2020-01-24 18:00:00,18,Friday,2025-03-29,2,-0.4939,negative,Poor service & strict rules,,Dine-in,Excelsa Dark 2.5kg,Excelsa,Dark,2.5,27.945,3.07395,No,1,27.94,3.074
Fahrenheit Coffee,2025-04-22 08:00:00,8,Tuesday,2019-03-31,5,0.0,neutral,Overall coffee experience,Afternoon snack,Dine-in,Excelsa Medium 2.5kg,Excelsa,Medium,2.5,31.624999999999996,3.47875,Yes,1,31.62,3.4788
Fahrenheit Coffee,2019-09-29 17:00:00,17,Sunday,2025-11-29,5,0.0,neutral,Price & value,Lunch,,Arabica Light 0.2kg,Arabica,Light,0.2,3.885,0.34964999999999996,No,1,3.88,0.3496
Fahrenheit Coffee,2017-07-14 07:00:00,7,Friday,2019-03-31,5,0.0,neutral,Overall coffee experience,Brunch,,Robusta Medium 2.5kg,Robusta,Medium,2.5,22.884999999999998,1.3730999999999998,Yes,2,45.77,2.7462
Fahrenheit Coffee,2023-06-14 10:00:00,10,Wednesday,2025-03-29,5,0.8602,positive,Food & pastry quality,Lunch,Dine-in,Arabica Light 0.5kg,Arabica,Light,0.5,7.77,0.6992999999999999,No,1,7.77,0.6993
Fahrenheit Coffee,2021-04-24 12:00:00,12,Saturday,2020-03-30,5,0.6588,positive,Food & pastry quality,Brunch,Dine-in,Excelsa Dark 0.2kg,Excelsa,Dark,0.2,3.645,0.40095000000000003,No,1,3.64,0.401
Fahrenheit Coffee,2019-06-23 09:00:00,9,Sunday,2024-03-29,5,0.6696,positive,Food & pastry quality,Breakfast,Dine-in,Robusta Light 0.5kg,Robusta,Light,0.5,7.169999999999999,0.4301999999999999,Yes,1,7.17,0.4302
Fahrenheit Coffee,2017-07-01 12:00:00,12,Saturday,2022-03-30,5,0.7269,positive,Price & value,,Dine-in,Robusta Light 0.2kg,Robusta,Light,0.2,3.5849999999999995,0.21509999999999996,No,1,3.58,0.2151
Fahrenheit Coffee,2023-12-13 08:00:00,8,Wednesday,2020-03-30,5,0.8271,positive,Price & value,Breakfast,Take out,Arabica Dark 0.2kg,Arabica,Dark,0.2,2.985,0.26865,No,1,2.98,0.2686
Fahrenheit Coffee,2017-05-13 12:00:00,12,Saturday,2025-03-29,5,0.9118,positive,Atmosphere & ambience,Lunch,Dine-in,Robusta Dark 0.5kg,Robusta,Dark,0.5,5.369999999999999,0.32219999999999993,No,1,5.37,0.3222
Fahrenheit Coffee,2022-07-21 08:00:00,8,Thursday,2021-03-30,5,0.5719,positive,Poor service & strict rules,Afternoon snack,,Arabica Medium 0.2kg,Arabica,Medium,0.2,3.375,0.30374999999999996,No,1,3.38,0.3037
Fahrenheit Coffee,2023-06-22 15:00:00,15,Thursday,2025-03-29,4,0.0,neutral,Specialty drinks,Breakfast,Dine-in,Excelsa Light 0.5kg,Excelsa,Light,0.5,8.91,0.9801,No,1,8.91,0.9801
Fahrenheit Coffee,2023-05-16 12:00:00,12,Tuesday,2018-03-31,5,0.0,neutral,Overall coffee experience,Breakfast,Take out,Robusta Medium 0.5kg,Robusta,Medium,0.5,5.97,0.35819999999999996,No,1,5.97,0.3582
Fahrenheit Coffee,2018-10-07 11:00:00,11,Sunday,2019-03-31,5,0.9746,positive,Overall coffee experience,Brunch,Take out,Robusta Dark 0.5kg,Robusta,Dark,0.5,5.369999999999999,0.32219999999999993,No,1,5.37,0.3222
